Pantalla_plana,Consola_videojuegos,Telefono_movil,Computadora_Escritorio,Laptop,Tablet,Internet_fijo,Cantidad_smartphones,localidad,Estrato_Socioeconomico
No,No,Si,No,Si,No,No,1,entre 15 mil y 99 mil,Medio alto
Si,Si,Si,No,No,No,Si,3,100 mil y mas,Medio alto
No,No,Si,No,Si,Si,Si,1,2 500 a 1menos de 2 500 999,Medio bajo
Si,No,Si,Si,No,No,Si,4,100 mil y mas,Medio bajo
Si,No,Si,No,No,No,No,2,menos de 2 500,Medio bajo
No,No,Si,No,No,No,No,5,2 500 a 1menos de 2 500 999,Medio bajo
No,No,Si,No,No,No,No,1,100 mil y mas,Medio bajo
Si,No,Si,No,No,Si,Si,4,menos de 2 500,Medio bajo
Si,No,Si,No,Si,No,Si,2,menos de 2 500,Bajo
Si,No,Si,No,No,No,Si,1,entre 15 mil y 99 mil,Medio bajo
No,No,Si,No,No,No,Si,2,100 mil y mas,Medio bajo
Si,No,Si,No,Si,No,Si,1,100 mil y mas,Alto
Si,Si,Si,No,No,Si,Si,1,100 mil y mas,Alto
Si,No,Si,Si,Si,No,Si,3,menos de 2 500,Medio bajo
Si,Si,Si,No,Si,No,Si,5,100 mil y mas,Medio bajo
No,No,No,No,No,No,No,0,2 500 a 1menos de 2 500 999,Medio bajo
Si,No,Si,No,No,No,Si,1,100 mil y mas,Medio bajo
Si,No,Si,No,Si,No,Si,2,100 mil y mas,Alto
Si,Si,Si,Si,No,No,Si,3,100 mil y mas,Medio bajo
Si,No,Si,No,No,No,No,2,entre 15 mil y 99 mil,Medio bajo
No,No,Si,No,No,No,No,1,entre 15 mil y 99 mil,Medio bajo
Si,No,Si,No,No,Si,Si,4,100 mil y mas,Alto
No,No,Si,No,No,No,Si,4,menos de 2 500,Medio bajo
No,No,No,No,No,No,No,0,menos de 2 500,Bajo
No,No,Si,No,No,No,No,2,menos de 2 500,Bajo
Si,Si,Si,No,Si,Si,Si,8,100 mil y mas,Medio alto
Si,No,Si,No,No,No,No,2,100 mil y mas,Medio bajo
Si,No,Si,No,No,Si,Si,3,entre 15 mil y 99 mil,Medio bajo
Si,No,Si,No,No,No,No,0,entre 15 mil y 99 mil,Medio bajo
No,No,Si,No,No,No,No,1,100 mil y mas,Medio alto
Si,No,Si,No,No,No,No,2,menos de 2 500,Medio bajo
No,No,Si,No,No,No,Si,5,entre 15 mil y 99 mil,Medio bajo
No,No,Si,No,Si,No,Si,4,menos de 2 500,Medio bajo
Si,Si,Si,No,Si,Si,Si,2,100 mil y mas,Alto
Si,No,Si,No,No,Si,Si,2,100 mil y mas,Medio alto
Si,No,Si,No,No,Si,No,3,2 500 a 1menos de 2 500 999,Medio bajo
Si,No,Si,No,No,No,No,0,2 500 a 1menos de 2 500 999,Medio bajo
Si,No,Si,Si,Si,No,Si,3,menos de 2 500,Medio bajo
No,No,Si,No,No,No,No,0,menos de 2 500,Bajo
Si,No,Si,No,No,No,No,1,100 mil y mas,Medio bajo
Si,Si,Si,Si,Si,Si,Si,3,menos de 2 500,Medio bajo
Si,Si,Si,No,Si,No,Si,5,100 mil y mas,Medio alto
Si,No,Si,No,Si,No,Si,2,100 mil y mas,Medio bajo
Si,No,Si,No,No,No,No,1,2 500 a 1menos de 2 500 999,Medio bajo
Si,No,Si,No,No,No,No,2,100 mil y mas,Medio alto
No,No,No,No,No,No,No,0,entre 15 mil y 99 mil,Medio bajo
No,No,Si,No,No,No,Si,5,100 mil y mas,Medio bajo
Si,No,Si,No,No,No,No,2,2 500 a 1menos de 2 500 999,Medio bajo
No,No,No,No,No,No,No,0,menos de 2 500,Bajo
Si,No,Si,No,No,No,Si,2,100 mil y mas,Medio bajo
Si,No,Si,No,No,Si,No,2,2 500 a 1menos de 2 500 999,Medio bajo
Si,No,No,No,No,No,No,0,100 mil y mas,Medio alto
Si,No,Si,No,No,No,No,0,menos de 2 500,Bajo
Si,No,Si,No,No,No,No,1,100 mil y mas,Medio bajo
Si,No,Si,No,No,No,Si,3,100 mil y mas,Medio bajo
Si,No,Si,Si,Si,Si,Si,2,100 mil y mas,Medio alto
No,No,Si,No,No,No,No,1,100 mil y mas,Medio bajo
Si,Si,Si,No,Si,Si,No,5,entre 15 mil y 99 mil,Medio alto
Si,Si,Si,No,Si,Si,Si,2,100 mil y mas,Alto
Si,Si,Si,Si,No,No,Si,2,100 mil y mas,Medio bajo
Si,Si,Si,Si,Si,Si,Si,5,100 mil y mas,Alto
Si,No,Si,Si,No,No,Si,2,100 mil y mas,Medio alto
Si,No,Si,No,No,No,Si,3,menos de 2 500,Bajo
Si,No,Si,No,No,Si,Si,2,menos de 2 500,Medio bajo
Si,No,Si,No,No,No,No,2,menos de 2 500,Medio bajo
Si,No,Si,No,No,No,No,4,100 mil y mas,Medio bajo
Si,Si,Si,No,No,No,Si,2,100 mil y mas,Alto
Si,No,Si,Si,Si,No,Si,4,100 mil y mas,Medio alto
No,No,Si,No,No,No,Si,4,2 500 a 1menos de 2 500 999,Medio bajo
Si,No,Si,No,Si,Si,Si,2,100 mil y mas,Medio alto
Si,No,Si,No,No,No,Si,2,entre 15 mil y 99 mil,Medio bajo
Si,No,Si,No,No,No,Si,2,entre 15 mil y 99 mil,Medio bajo
Si,No,Si,No,No,No,No,2,100 mil y mas,Medio alto
Si,No,Si,No,No,No,No,2,100 mil y mas,Medio bajo
Si,No,Si,No,No,No,No,2,100 mil y mas,Medio bajo
Si,No,Si,No,No,No,Si,2,entre 15 mil y 99 mil,Medio bajo
Si,No,Si,Si,Si,Si,Si,3,entre 15 mil y 99 mil,Medio bajo
Si,No,Si,No,No,No,No,1,100 mil y mas,Medio bajo
No,No,No,No,No,No,No,0,100 mil y mas,Medio bajo
Si,No,Si,Si,No,No,Si,3,100 mil y mas,Medio bajo
No,No,Si,No,No,No,No,0,entre 15 mil y 99 mil,Medio bajo
Si,No,Si,Si,No,No,Si,4,entre 15 mil y 99 mil,Medio bajo
No,No,Si,No,No,No,Si,1,2 500 a 1menos de 2 500 999,Medio bajo
No,No,Si,No,No,Si,No,2,2 500 a 1menos de 2 500 999,Bajo
Si,No,Si,No,Si,No,Si,5,100 mil y mas,Medio alto
No,No,Si,No,No,Si,Si,1,100 mil y mas,Medio bajo
Si,No,Si,No,Si,No,Si,3,entre 15 mil y 99 mil,Medio alto
Si,No,Si,No,No,No,Si,5,menos de 2 500,Medio bajo
Si,No,Si,No,No,No,Si,1,entre 15 mil y 99 mil,Medio alto
Si,No,Si,No,No,No,Si,1,menos de 2 500,Bajo
Si,No,Si,No,No,No,No,1,entre 15 mil y 99 mil,Medio bajo
Si,No,Si,No,No,No,No,3,100 mil y mas,Medio bajo
Si,Si,Si,No,No,No,Si,5,2 500 a 1menos de 2 500 999,Medio bajo
Si,No,Si,No,No,No,No,2,100 mil y mas,Medio bajo
Si,No,Si,No,Si,Si,Si,4,entre 15 mil y 99 mil,Medio bajo
Si,No,Si,No,Si,No,Si,2,entre 15 mil y 99 mil,Medio alto
Si,No,Si,No,No,No,Si,2,2 500 a 1menos de 2 500 999,Medio bajo
Si,No,Si,No,No,No,Si,2,entre 15 mil y 99 mil,Medio bajo
Si,No,Si,No,No,No,No,0,2 500 a 1menos de 2 500 999,Medio bajo
No,No,Si,No,No,No,No,1,menos de 2 500,Bajo
No,No,No,No,No,No,No,0,100 mil y mas,Medio bajo
Si,No,Si,No,No,No,Si,1,entre 15 mil y 99 mil,Medio bajo
No,No,Si,No,No,No,Si,3,2 500 a 1menos de 2 500 999,Medio bajo
Si,Si,Si,Si,Si,Si,Si,3,100 mil y mas,Medio alto
No,No,Si,No,No,No,No,0,2 500 a 1menos de 2 500 999,Medio bajo
Si,No,Si,No,Si,No,Si,2,100 mil y mas,Medio alto
Si,No,Si,No,No,No,Si,4,menos de 2 500,Medio bajo
Si,No,Si,No,No,No,Si,5,100 mil y mas,Medio alto
Si,No,No,No,No,No,Si,0,menos de 2 500,Medio bajo
Si,No,Si,No,No,No,Si,4,100 mil y mas,Medio bajo
Si,No,Si,No,Si,Si,Si,2,100 mil y mas,Alto
Si,No,Si,No,No,No,Si,3,100 mil y mas,Medio bajo
Si,No,Si,No,No,No,Si,1,100 mil y mas,Medio alto
Si,No,Si,Si,Si,No,Si,5,2 500 a 1menos de 2 500 999,Bajo
Si,Si,Si,Si,Si,No,Si,3,100 mil y mas,Medio alto
Si,Si,Si,No,Si,No,Si,3,entre 15 mil y 99 mil,Medio bajo
Si,No,Si,No,Si,No,Si,5,entre 15 mil y 99 mil,Medio bajo
Si,No,Si,No,No,No,No,2,100 mil y mas,Medio bajo
Si,Si,Si,No,Si,No,Si,3,100 mil y mas,Medio bajo
Si,No,Si,No,No,No,No,1,2 500 a 1menos de 2 500 999,Medio bajo
Si,No,Si,No,Si,No,Si,3,100 mil y mas,Medio alto
Si,No,Si,No,No,Si,Si,2,entre 15 mil y 99 mil,Medio bajo
No,No,Si,No,No,No,No,2,100 mil y mas,Medio alto
Si,No,Si,No,Si,No,Si,4,100 mil y mas,Medio bajo
Si,No,Si,No,No,No,No,1,menos de 2 500,Medio bajo
No,No,Si,No,No,No,No,0,2 500 a 1menos de 2 500 999,Bajo
No,No,Si,No,No,No,No,1,entre 15 mil y 99 mil,Medio bajo
Si,No,Si,No,Si,No,Si,3,entre 15 mil y 99 mil,Medio bajo
Si,No,Si,No,No,No,No,1,100 mil y mas,Medio bajo
Si,No,Si,No,No,No,No,1,100 mil y mas,Medio bajo
Si,No,Si,No,No,No,Si,3,entre 15 mil y 99 mil,Medio alto
Si,No,Si,No,Si,No,Si,2,menos de 2 500,Medio bajo
Si,No,Si,No,No,No,Si,2,menos de 2 500,Bajo
Si,Si,Si,No,Si,Si,Si,4,2 500 a 1menos de 2 500 999,Medio bajo
Si,No,Si,No,Si,Si,Si,4,100 mil y mas,Medio alto
